msgid	msguser	msgtext	replyid	replyuser	replytext
496154130444849152	133093395	[MENTION] haha , indeed ... it will draw a tear and swell the heart from and of any human with a pulse	496154310141423616	133093395	[MENTION] guess you can tell i'm enjoying myself
496503863210700800	1396698397	Who's going to be homeschooled this summer ?	496505082759094272	841076833	“ [MENTION] : Who's going to be homeschooled this summer ? ” I wish
497114044105768960	330705266	Videos up !!! Go check it out !! [URL]	497114512261390336	330705266	Wtf why is it sideways .
497114044105768960	330705266	Videos up !!! Go check it out !! [URL]	497114558574907392	330705266	This is so complicated
497617417120387072	308297673	u are my ☀️ , my 🌙 & all of my ⭐️	497617976968089600	841076833	“ [MENTION] : u are my ☀️ , my 🌙 & all of my ⭐️ ” I love you 😘
498178602551504896	1799376955	[MENTION] inviten a Heffron Drive el 4 de octubre PorFavor [MENTION] [MENTION] |HeffronDriveEnElHormigueroMx	498605690592960512	1799376955	[MENTION] [MENTION] [MENTION] invitenlos el 4 de octubre por favor |HeffronDriveEnElHormigueroMx
498199870365519872	2188697749	ya acaba dogum gunum icin hediyeyi birak mesaj falan dusunen var mi ki beni boyle seyler x100 mutlu ediyo :(	498200092881715200	2188697749	az duygusal düsündüm ama siz yine de HEDİYE ALIN [MENTION]
498338280002158592	139539038	Never on my phone when Im w ya . When ur away , Im glued to it texting youuu .	498342667244171264	163645988	[MENTION] i do the same thing lol at our love life
498637030663143424	1396698397	OKAY RT FOR A FOLLOW [URL]	517006545037819904	1328060750	[MENTION] u didnt follow me😔
499294042857828352	278328390	It's not always the most fun place in the world , but when it really comes down to it ... there's no place like Nebraska .	499379884175527936	382402366	. [MENTION] well said
499469119641513984	1681460370	[MENTION] niall I'm starving too let's eat together what you say ?! I'm in Israel I'm invite you here please come we have great falafe	499469400131391488	1681460370	[MENTION] falafel *
499469119641513984	1681460370	[MENTION] niall I'm starving too let's eat together what you say ?! I'm in Israel I'm invite you here please come we have great falafe	499469405714006016	1681460370	[MENTION]
499966259832705024	330705266	Who is coming to Salt Lake city Sept 5th and 6th to see us all ? [URL]	499969743357747200	2711961214	[MENTION] [MENTION] I'm starting to do chores so my mom will pay me ! I'm going to donate to hope for holt !! 😘😘
500120451159306240	1396698397	I need you more than you need me	500120764855894016	2609837026	[MENTION] hun that isnt and never will be true .
500371854591553536	330705266	Yeet crew on photo shoot on Mt . Baker So much fun [MENTION] |aeronow [URL]	500371952746643456	2711961214	[MENTION] [MENTION] ahh you are too cute !!
500406138895360000	330705266	I wish could sing	500406234429014016	2711961214	[MENTION] you're hot even if you don't sing . haha I can't sing either
500705565526745088	330705266	😍	500705638771884032	326492577	[MENTION] my reaction when I see you
500746037586173952	308297673	|RIPflippy 🐟😲😔	500758354126712832	139539038	.. [MENTION] damn didn't see this one coming ! Lasted about 5 days .. almost a week ! That's like a record for u
501472664872300544	1705991035	I remember the day I told my professor I was leaving college- he was like " You're making the worst decision in your life . You need this " 😂	501473334295822336	841076833	[MENTION] actually leaving college wasn't your worst decision ! You made it far and your photography is amazing ! 💕
501494016173957120	1705991035	Tweet : |MakeAYoutubeBryant if you'd like me to make a photography channel . 📷😊	501495233763606528	403171568	“ [MENTION] : Tweet : |MakeAYoutubeBryant if you'd like me to make a photography channel . 📷😊 ” |DontMakeAYoutubeBryant
501514739949010944	330705266	I need a month long vacation in Bora Bora	501523987537854464	2711961214	[MENTION] with me (:
501559616564912128	588004256	Half of my timeline is [MENTION] subtweeting and retweeting her boy toy . 😐😂	501560224441196544	588004256	[MENTION] stfu✋
501559616564912128	588004256	Half of my timeline is [MENTION] subtweeting and retweeting her boy toy . 😐😂	501560551055835136	588004256	[MENTION] I also follow 112 people and yet you manage to tweet enough for 600 . Bitch . 😒
501560551055835136	588004256	[MENTION] I also follow 112 people and yet you manage to tweet enough for 600 . Bitch . 😒	501561342957191168	588004256	[MENTION] You started it . But I'm not arguing with you ... don't want anybody tweeting about me taking up there timeline . 😐
501578157871210496	1396698397	LA is awesome and stuff .. But I wanna go on tour again and meet you guys again . You guys make me the happiest	501578309491511296	841076833	[MENTION] come to Canada next time
501592808940376064	326492577	Proud to say this is my idol ❤ ️ [MENTION] [URL]	501592931678314496	326492577	[MENTION] the oatmeal in your mouth looks hella fake omg 😂
501768488701407232	326492577	Tagged by : [MENTION] 1 . Amber ☺ ️ 2 . Jacob and Cam 🌸 3 . Iowa USA 🚜 4 . Summer ☀️ 5 . ❤ ️😂 [URL]	501769317411979264	326492577	[MENTION] [MENTION] [MENTION] [MENTION] [MENTION] [MENTION] [MENTION] [MENTION] [MENTION]
501768488701407232	326492577	Tagged by : [MENTION] 1 . Amber ☺ ️ 2 . Jacob and Cam 🌸 3 . Iowa USA 🚜 4 . Summer ☀️ 5 . ❤ ️😂 [URL]	501769373384974336	326492577	[MENTION]
501910429937856512	110288084	RT for a follow ! Because I'm thirsty 😂💦😛😎 [URL]	501914530943733760	110288084	[MENTION] photo creds : [MENTION] 📷
502268507720253440	330705266	I hope you think about me as much as I think about you	502268594932436992	2711961214	[MENTION] that's a lie . no one thinks about me
502377741711192064	308297673	ok [URL]	502623403363553280	2609837026	[MENTION] that tan line😂
502591336902819840	139539038	New Video !! More than 1 Jc Caylen !? - [URL] 😳😮😏	502623841659924480	163645988	[MENTION] woah u actually made a cool video . congrats bro .
502593559128985600	330705266	Adventures . living in the now . Share your moment with |aeronow [MENTION] Tag me so I can respond to you guys . [URL]	504984156888391680	55592183	[MENTION] loving your moment of now ! |aeronow
502620676336144384	308297673	forgive me 🙏 [URL]	502623196454338560	2609837026	[MENTION] 😂😂😂😂I'm done . 😂😂😂I forgive you though ! 😂
502623841659924480	163645988	[MENTION] woah u actually made a cool video . congrats bro .	502625543523942400	139539038	,, [MENTION] Im sorry ... U are ?
502684402728845312	163645988	just bought this book the other day & its so much fun . im not very good , but who cares , all art is beautiful [URL]	502696248873603072	139539038	,, [MENTION] let's get started on maze runner :)
502696248873603072	139539038	,, [MENTION] let's get started on maze runner :)	502697516409032704	163645988	[MENTION] u just want everyone to know ur actually gonna read a book for the first time in 21 years 😏 lol jk 😉
502892215266320384	308297673	how am I 19 in 11 days .. I wanna be 13 again 🌞🌸	502892525963972608	841076833	“ [MENTION] : how am I 19 in 11 days .. I wanna be 13 again 🌞🌸 ” How am I starting school in 11 days ?! 😭
502927667877146624	330705266	Lights 🏈 [URL]	508086655241039872	2609837026	[MENTION] booooo ! MESQUITE . yeah . HA LOVE ya
502993919387643904	330705266	Yay three more hours in the airport	502999188205223936	2711961214	[MENTION] wish I could be there to help ):
503020503880065024	163645988	From today . 🌞 [URL]	503023156722810880	139539038	,, [MENTION] 😍😍😍
503023156722810880	139539038	,, [MENTION] 😍😍😍	503024545133891584	163645988	[MENTION] babeee 🙈🙈
503023824959733760	30892730	Found a cat on my head lol - my snap chats are getting weirder and weirder - add me RealBartBaker 😝😈 [URL]	503025043040137216	2609837026	[MENTION] why do I feel like your going to do a black widow parody .....
503266393723129856	139539038	Jumped off the roof into the pool last night😁✊	503268188063166464	1396698397	“ [MENTION] : Jumped off the roof into the pool last night😁✊ ” dude I did it the most that was so crazy ! Great seeing you !!
503305405905108992	308297673	got yo ass [MENTION] 😎 [URL]	503443908190150656	1396698397	..... [MENTION] NAAAA I WON THAT😂
503572550774165504	330705266	Tweet me screenshots of you playing our new app " Cash Dash " & Ill follow you ! It's out for android & iPhone , lets get it to |1 on the store !	503573328171651072	2711961214	[MENTION] I think I found a new obsession😂😂 |cashdash even though I'm terrible [URL]
503573281996570624	330705266	Download " Cash Dash " in the App Store !!! Get it to number one !! We love you guys ❤ ️ ❤ ️ ❤ ️ [URL]	503573501660643328	2711961214	[MENTION] your voice 😍😍😍
503621819257995264	308297673	this is a toilet , which I just took a wiz in . [URL]	503623861053980672	139539038	,, [MENTION] nice jacket , is my closet a goodwill store now ?
503656421494652928	1705991035	Hey guys this is Nash .. I broke my phone again so yeah I'm gonna get it fixed when we get back to LA 😂	503658147559399424	30892730	[MENTION] dude what are u doing with that thing ?!?!
503789382835642368	403171568	Efficiency is intelligent laziness	503789783500345344	110288084	“ [MENTION] : Efficiency is intelligent laziness ” tf does this even mean ? Haha
503811386859085824	139539038	Jack & jack are the realist kids u'll come across . Trust me	504021899769167872	278328390	. [MENTION] you're the man jc
504029250132127744	326492577	My beautiful friend Chay met Jacob today .. ❤ ️ [MENTION] [URL]	504030397899239424	326492577	[MENTION] oh yeah I forgot to tag [MENTION] ! 😂😂
504073400143581184	326492577	[MENTION] I think he has veneers but who the hell knows .. 😂	504073701122662400	326492577	[MENTION] or he gets bonding done in his gap because that's what I have to do with my incisors because they're too small .. 😂😂
504081780614631424	1396698397	Hahahah you guys have school	504082033195626496	841076833	“ [MENTION] : Hahahah you guys have school " Thanks for that boost of confidence !
504486621488902144	139539038	Breakfast at 9pm . Damn .	504486712907538432	308297673	[MENTION] ur a bitch
504831775076388864	1396698397	Love me	504832236303441920	841076833	“ [MENTION] : Love me ” [MENTION]
505097348616175616	1396698397	Instagram right now is like my relationship life ... Just isn't working😔	505098729960263680	588004256	“ [MENTION] : Instagram right now is like my relationship life ... Just isn't working😔 ” 🙌🙌🙌🙌
505121530997911552	330705266	Download our new app " Cash Dash " from the AppStore ! Cameron , Carter , Hayes , play as my character ! [URL]	505122026369982464	30892730	[MENTION] HOLLER
505450110860673024	330705266	I love you guys so much ❤ ️	505457804090822656	1042042788	[MENTION] I love you bae
505763236516732928	330705266	Gonna be retweeting and favoriting people who tweet this link !!! - [URL] ❤ ️	505764135217659904	330705266	Please vote for us 😊 ❤ ️ [URL]
506185569865850880	326492577	1 . Amber 2 . 10/19/00 3 . [MENTION] 4 . 1D 5 . Purple 6 . Pancakes 7 . Horse 8 . Christmas 9 . Light brown [URL]	506185629538209792	326492577	10 . Green
506185569865850880	326492577	1 . Amber 2 . 10/19/00 3 . [MENTION] 4 . 1D 5 . Purple 6 . Pancakes 7 . Horse 8 . Christmas 9 . Light brown [URL]	506185699062992896	326492577	I'm not tagging anyone .. 😂😂
506206824446447616	326492577	1 . Cam 2 . Matt 3 . Aaron 4 . Will Ferrell 5 . Micheal Jackson 6 . Marilyn Monroe 7 . Jacob [URL]	506207078780645376	326492577	[MENTION] [MENTION] [MENTION] that's it . 😂
506547382943637504	278328390	RT for a follow |FollowMeJG [URL]	559073752324243456	2735483045	“ [MENTION] : this is how big my dick is [URL] ”
506551196450975744	382402366	Yay new number :) starting the follow spree in 45 min with the |sammywilkfollowme	506551812925968384	2541854413	[MENTION] i give it a week before it gets leaked again
506671983577165824	110288084	[URL]	506672047578427392	110288084	[MENTION] [MENTION]
506671983577165824	110288084	[URL]	506672241749147648	110288084	[MENTION] Nemo * 😂
506883899805270016	139539038	HAPPY BDAY TO THIS BITCH ASS DOUCHE NOZZLE [MENTION] !!! 🎉🎉 U steal my clothes but I still luv ya today's ur day hope the results are gewd	506899361775624192	308297673	[MENTION] the results are always good when I steal ur clothes 💁 haha , thank u my brotha from a notha motha 👬
507268339236732928	1396698397	Studio today .... Should I do a younow babes ? Miss talking with you guys	507268399551229952	2429604951	[MENTION] YES
507279053335056384	330705266	SO EXCITED FOR TONIGHT	507279110155296768	2711961214	[MENTION] what's tonight ?
507323097117384704	330705266	[MENTION] don't listen to what people say about you . Be you . You're beautiful in your own way . I love you . Thank u for your support ❤ ️	531649920689012736	1631064974	[MENTION] I love you too ...
507323097117384704	330705266	[MENTION] don't listen to what people say about you . Be you . You're beautiful in your own way . I love you . Thank u for your support ❤ ️	531649990138286080	1631064974	[MENTION] your welcome for the support btw 😔
507363183657357312	382402366	My love [MENTION] [URL]	507366903745372160	467781586	[MENTION] but that sex hair tho
507369253155393536	330705266	[MENTION] I'm a amazing driver	507481510715609088	467781586	[MENTION] HAYES FOLLOW ME BABE
507369253155393536	330705266	[MENTION] I'm a amazing driver	507481752815017984	467781586	[MENTION] HAYES MAKE ME HAPPY AND PRESS THE FOLLOW BOTTOM
507369253155393536	330705266	[MENTION] I'm a amazing driver	507482040372314112	467781586	[MENTION] BABY FOLLOW ME
507369253155393536	330705266	[MENTION] I'm a amazing driver	507482243779264512	467781586	[MENTION] YOU NEED TO FOLLOW MEEEEEEE
507385996216782848	139539038	She looks in the mirror in disappointment while im behind her in luuuuv	507386114353549312	308297673	[MENTION] ok tumblr
507690665874952192	139539038	First ... there was the insta-douche ... Now , ladies & gentlemen .... I present to u , the very first .... snap-douche [URL]	507690847463165952	308297673	[MENTION] I'm always horny now , sorry 💁
507692865162838016	382402366	New clothes are always good	507692956942606336	467781586	[MENTION] kiss me
507695798453149696	308297673	If u wanna be a fake bitch & go thru life thinking ur perfect , go ahead . Once u fall , ur gonna fall hard . Life doesn't come with bandaids .	507700419976364032	139539038	,, [MENTION] yea they do look [URL]
507724997184737280	588004256	Trying to go to bed and something hits my window causing me to jump and hit a glass cup and it shatters all in my carpet . 😒🔫 |fml	507725693376266240	588004256	[MENTION] and then I try and pick up the glass and it cuts my finger [URL]
507813105426915328	1396698397	I love u	508349387312230400	2684899689	[MENTION] I love you more
508025265990008832	2609837026	Love me boyyy 😘😘 😘 |lovinHayes	508025355748122624	2609837026	[MENTION] [MENTION]
508038329703878656	330705266	Hey	508038371223273472	2711961214	[MENTION] hayy
508352720265170944	1396698397	... [MENTION] I know	508352885592440832	2684899689	[MENTION] [MENTION] 😂😂😂 I'm dead
508356371931082752	1396698397	Holy [URL]	508356505327136768	2684899689	[MENTION] you've come so far babe😘
508356371931082752	1396698397	Holy [URL]	508357013269934080	2684899689	[MENTION] are you a magician ? Cause abracadayum😍🔥
508455151330263040	1396698397	Treat your girl right or someone else will ...	508479056120008704	2609837026	[MENTION] Haha when I get a bae I'll tell him that 😂
508465356415844352	163645988	Tired , but wanting to hang out w people , but you're working & when u get home you'll want to pass out .. but being social would be good for u	508465710683541504	163645988	[MENTION] | so relatable wow
508609015497363456	330705266	Should I do a follow spree since that hacker unfollowed everyone ? Hmmm we'll see ;)	508609071457771520	1328060750	[MENTION] yes ❤ ️
508609015497363456	330705266	Should I do a follow spree since that hacker unfollowed everyone ? Hmmm we'll see ;)	508609141473280000	2711961214	[MENTION] yesss !! maybe I'll get a follow ? (;
508668565017620480	824289330	Shake it off - 60 Second Drum Cover - Taylor Swift * ALS Ice Bucket Challenge Edition ! * [URL] [MENTION]	508668813051973632	824289330	[MENTION] this guy is really good 😘✨💕🎶
508681838659788800	308297673	no matter what clothes u wear or what car u drive , ur no better than anybody else . treat everybody w/ love & respect .	508682229862526976	163645988	[MENTION] u sound like the suck my ass girl
